"","totaldeployments","discarded","retained","random","non_random","Rock","Maerl","Sand","start","end","nsamplingdays"
"PC",326,63,263,229,34,51,79,133,"16/07/2018","06/07/2020",37
"PC2018a ",60,13,47,47,0,9,8,30,"16/07/2018","10/08/2018",11
"PC2018b ",76,17,59,59,0,6,19,34,"04/12/2018","01/02/2019",7
"PC2019 ",75,13,62,62,0,5,26,31,"06/07/2019","21/09/2019",10
"PC2020 ",115,20,95,61,34,31,26,38,"12/03/2020","06/07/2020",9
"TI",9,3,6,0,6,6,0,0,"01/12/2018","03/03/2020",3
"PC2018b 1",3,3,0,0,0,0,0,0,"01/12/2018","01/12/2018",1
"PC2019 1",3,0,0,0,3,0,0,0,"12/07/2019","12/07/2019",1
"PC2020 1",3,0,0,0,3,0,0,0,"03/03/2020","03/03/2020",1
"ST",163,15,148,79,69,36,41,71,"06/09/2019","27/02/2020",16
"ST2019 ",83,9,74,40,34,15,22,37,"06/09/2019","17/09/2019",8
"ST2020 ",80,6,74,39,35,21,19,34,"17/02/2020","27/02/2020",8
