"","variable","island","max","min","mean","sd"
"1","depth","Principe",30.8,2,17.5061977186312,6.91987755200942
"2","depth","Tinhosas",23,14.7,17.9166666666667,3.04592624117306
"3","depth","São Tomé",33.8,3.6,18.8290540540541,7.05453251683426
"4","disttoshore","Principe",5311.55743924187,6.45818552270456,756.46149327858,852.839080744552
"5","disttoshore","Tinhosas",76.6069096663587,35.0596319498654,57.0693964959151,18.6784647923271
"6","disttoshore","São Tomé",2050.35255442039,22.8561634982996,403.843799541262,370.037775052042
"7","slope","Principe",21.1164140471187,0.0409619613433711,1.82984858413909,2.29084784494898
"8","slope","Tinhosas",12.076365749427,9.32094971720066,10.6246729386108,1.23757848307222
"9","slope","São Tomé",9.99649123213967,0.0186481323410777,2.56990847432629,2.13273847764382
