"","s(depth)","s(disttoshore)","s(slope)","habitat","island","s(Season, bs = ""cc"", k = -1)","s(Season, by = island, bs = ""cc"", k = -1)","dev.expl","weight","indicator","names"
"output",0.0637,NA,0.0852,0.7806,NA,NA,0.0704,0.655941286497561,0.36697880233528,"richness","102"
"contribution",0.0606,NA,0.0864,0.7823,NA,0.0707,NA,0.658774617311203,0.36428122697603,"richness","86"
"contribution.1",0.0759,NA,NA,0.8379,0.0066,0.0392,0.0405,0.653800832753354,0.057491111323109,"richness","56"
"contribution.2",0.0766,NA,NA,0.848,0.0093,NA,0.0661,0.653801049313307,0.0574436486529867,"richness","40"
"contribution.3",0.075,NA,NA,0.8404,NA,0.0419,0.0427,0.651676632114358,0.0542597879525226,"richness","54"
"contribution.4",0.0755,NA,NA,0.8528,NA,NA,0.0717,0.651676639604859,0.0542592645932319,"richness","38"
"contribution.5",0.0744,NA,NA,0.8548,NA,0.0708,NA,0.654181693530665,0.0452861581668398,"richness","22"
"output1",0.0332,0.1783,NA,0.6692,0.0188,NA,0.1006,0.458331770755439,0.214544740579428,"abundance","48"
"contribution1",0.0295,0.1838,NA,0.6769,NA,NA,0.1098,0.454414029107557,0.149574375563374,"abundance","46"
"contribution.12",0.0351,NA,0.1163,0.7173,0.0145,0.0464,0.0703,0.447790856808503,0.115150407529424,"abundance","120"
"contribution.21",0.0348,NA,0.1165,0.7395,0.0167,NA,0.0924,0.44781198042552,0.113327442926987,"abundance","104"
"contribution.31",0.0358,NA,0.1238,0.7666,NA,0.0737,NA,0.440888562198089,0.095378633824114,"abundance","86"
"contribution.41",0.0333,NA,0.1279,0.8387,NA,NA,NA,0.440916872352489,0.0949433570061104,"abundance","70"
"contribution.51",0.0345,0.1766,NA,0.7889,NA,NA,NA,0.446399611124189,0.0729747805369232,"abundance","14"
"contribution.6",NA,NA,0.1282,0.7389,0.0138,0.0467,0.0724,0.443161153580084,0.0366068390269387,"abundance","116"
"contribution.7",NA,NA,0.1279,0.7622,0.0147,NA,0.0952,0.443175640982491,0.0360991704003367,"abundance","100"
"contribution.8",NA,0.1915,NA,0.6886,0.015,NA,0.1048,0.452268229693271,0.0338736624908506,"abundance","44"
"contribution.9",0.0459,NA,NA,0.8374,0.0237,NA,0.093,0.439592126693883,0.0128851175720414,"abundance","40"
"contribution.10",0.0488,NA,NA,0.8556,0.0253,0.0702,NA,0.434327134843298,0.0126029584343172,"abundance","24"
"contribution.11",0.0488,NA,NA,0.9174,0.0338,NA,NA,0.434439903831812,0.0120385141091548,"abundance","8"
"output2",0.0609,NA,0.091,0.7498,NA,NA,0.0984,0.471627467295476,0.287697947678578,"evenness","102"
"contribution2",0.0725,NA,NA,0.8014,NA,0.0445,0.0816,0.464686580102551,0.119124203148921,"evenness","54"
"contribution.13",0.0715,NA,NA,0.8244,NA,NA,0.1042,0.464687547809359,0.119037448679266,"evenness","38"
"contribution.22",NA,NA,0.1012,0.7793,NA,0.0428,0.0766,0.464483722371312,0.108003011184752,"evenness","114"
"contribution.32",NA,NA,0.1023,0.8002,NA,NA,0.0975,0.464484256908403,0.107895918045514,"evenness","98"
"contribution.42",0.0615,NA,0.0961,0.7764,NA,0.0661,NA,0.453911844266648,0.0675349628980036,"evenness","86"
"contribution.52",0.0606,NA,0.0989,0.8405,NA,NA,NA,0.453912301488682,0.0674790631017877,"evenness","70"
"contribution.61",NA,NA,NA,0.8955,NA,NA,0.1045,0.457235978231854,0.0373746207445322,"evenness","34"
"contribution.71",0.0749,NA,NA,0.8552,NA,0.0699,NA,0.44748586745763,0.0335287118580856,"evenness","22"
"contribution.81",0.0728,NA,NA,0.9272,NA,NA,NA,0.447486323697719,0.0335121073765739,"evenness","6"
"contribution.91",NA,NA,0.1123,0.8877,NA,NA,NA,0.445117976522117,0.0188120052839852,"evenness","66"
